"","pageid","session","party","constituency","constituency2","session_start","session_end","service","country","wikidataid","wikititle","name","sex","ethnicity","religion","birth","death","birthplace","deathplace","twitter"
"1","31775838",5,"Scottish National Party","Paisley","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1282862","George_Adam","George Adam","male","white",NA,1969-06-08,NA,"55.85,-4.43333",NA,"georgeadam"
"2","28778371",5,"Scottish National Party","Motherwell and Wishaw","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q540328","Clare_Adamson","Clare Adamson","female","white",NA,1967-08-01,NA,"55.78917,-3.99556",NA,"clareadamsonsnp"
"3","8630438",5,"Scottish National Party","Na h-Eileanan an Iar","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q559634","Alasdair_Allan","Alasdair Allan","male","white",NA,1971-05-06,NA,"55.48,-2.84",NA,"alasdairallan"
"4","50442029",5,"Scottish National Party","Renfrewshire South","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24039804","Tom_Arthur_(Scottish_politician)","Tom Arthur","male",NA,NA,1985-01-01,NA,"55.85,-4.43333",NA,"thomascarthur"
"5","1477240",5,"Scottish Labour Party","Dumbarton","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q544729","Jackie_Baillie","Jackie Baillie","female","white",NA,1964-01-15,NA,"22.27833,114.15861",NA,"jackiebmsp"
"6","11190465",5,"Scottish Labour Party","Mid Scotland and Fife","Regional",2016-05-05,2021-05-06,1827,"SCO","Q744632","Claire_Baker","Claire Baker","female","white",NA,1971-03-04,NA,"56.07139,-3.46167",NA,"clairebakermsp"
"7","31777131",5,"Scottish Labour Party","South Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1097337","Claudia_Beamish","Claudia Beamish","female","white",NA,1952-08-09,NA,"51.50722,-0.1275",NA,"claudiabeamish"
"8","31708558",5,"Scottish National Party","Midlothian North and Musselburgh","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1108343","Colin_Beattie","Colin Beattie","male","white",NA,1951-10-17,NA,"56.64306,-2.89",NA,"uartlach"
"9","31742780",5,"Scottish Labour Party","West Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1557330","Neil_Bibby","Neil Bibby","male","white",NA,1983-09-06,NA,"55.85,-4.43333",NA,"neilbibby"
"10","52602133",5,"Scottish Conservative and Unionist Party","North East Scotland","Regional",2016-05-05,2021-05-06,1610,"SCO","Q28020296","Bill_Bowman_(Scottish_politician)","Bill Bowman","male","white",NA,1950-05-30,NA,"55.87,-4.27",NA,"billabowman"
"11","11145229",5,"Scottish National Party","Clackmannanshire and Dunblane","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1738042","Keith_Brown_(Scottish_politician)","Keith Brown","male","white",NA,1961-12-20,NA,"55.95,-3.19889",NA,"keithbrownsnp"
"12","50442032",5,"Scottish Conservative and Unionist Party","Aberdeenshire West","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24034422","Alexander_Burnett_(politician)","Alexander Burnett","male","white",NA,1973-07-30,NA,NA,NA,"ajaburnett"
"13","50446788",5,"Scottish Conservative and Unionist Party","Highlands and Islands","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24052673","Donald_Cameron_(Scottish_politician)","Donald Cameron","male","white",NA,1976-11-26,NA,"56.9452,-4.99818",NA,"dajcameron"
"14","11117372",5,"Scottish National Party","Clydesdale","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q405017","Aileen_Campbell","Aileen Campbell","female","white",NA,1980-05-18,NA,"56.39528,-3.43167",NA,"clydesdaileen"
"15","10835012",5,"Scottish Conservative and Unionist Party","Eastwood","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1231522","Jackson_Carlaw","Jackson Carlaw","male","white",NA,1959-04-12,NA,"55.7716,-4.3347",NA,"carlaw4eastwood"
"16","50452062",5,"Scottish Conservative and Unionist Party","Galloway and West Dumfries","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24034357","Finlay_Carson","Finlay Carson","male","white",NA,1967-10-18,NA,"54.8646,-4.08328",NA,"fincarson"
"17","11051244",5,"Scottish National Party","Kilmarnock and Irvine Valley","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q524532","Willie_Coffey","Willie Coffey","male","white",NA,1958-05-24,NA,NA,NA,"williecoffeysnp"
"18","50441811",5,"Scottish Liberal Democrats","Edinburgh Western","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24045406","Alex_Cole-Hamilton","Alex Cole-Hamilton","male","white",NA,1977-07-22,NA,NA,NA,"agcolehamilton"
"19","4030152",5,"Scottish National Party","Almond Valley","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q524077","Angela_Constance","Angela Constance","female","white",NA,1970-07-15,NA,"55.8725,-3.62154",NA,"aconstancesnp"
"20","553129",5,"Scottish National Party","Stirling","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q559391","Bruce_Crawford","Bruce Crawford","male","white",NA,1955-02-16,NA,"56.39528,-3.43167",NA,"rhbrucecrawford"
"21","294750",5,"Scottish National Party","Perthshire South and Kinross-shire","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q333953","Roseanna_Cunningham","Roseanna Cunningham","female","white",NA,1951-07-27,NA,"55.87,-4.27",NA,"strathearnrose"
"22","50441901",5,"Scottish National Party","Edinburgh Eastern","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24052667","Ash_Denham","Ash Denham","female","white",NA,1974-03-08,NA,"55.95,-3.19889",NA,"ashtenrd"
"23","11209253",5,"Scottish National Party","Glasgow Maryhill and Springburn","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q887886","Bob_Doris","Bob Doris","male","white",NA,1973-05-11,NA,NA,NA,"bobdorissnp"
"24","31692776",5,"Scottish National Party","Glasgow Cathcart","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q509808","James_Dornan","James Dornan","male","white",NA,1953-03-17,NA,"55.87,-4.27",NA,"glasgowcathcart"
"25","31776596",5,"Scottish Labour Party","Lothian","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1740370","Kezia_Dugdale","Kezia Dugdale","female","white",NA,1981-08-28,NA,"57.15,-2.1",NA,"kezdugdale"
"26","50432511",5,"Scottish National Party","Angus North and Mearns","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24014894","Mairi_Gougeon","Mairi Evans","female","white",NA,NA,NA,"56.464,-2.97",NA,"mairigougeon"
"27","553144",5,"Scottish National Party","East Kilbride","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q467097","Linda_Fabiani","Linda Fabiani","female","white",NA,1956-12-14,NA,"55.87,-4.27",NA,"lindafabianisnp"
"28","11046749",5,"Scottish National Party","Dundee City West","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1612012","Joe_FitzPatrick","Joe FitzPatrick","male","white",NA,1967-04-01,NA,"56.464,-2.97",NA,"joefitzsnp"
"29","50442435",5,"Scottish National Party","Skye, Lochaber and Badenoch","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24039479","Kate_Forbes","Kate Forbes","female","white",NA,1990-04-06,NA,"57.59722,-4.42778",NA,"kateforbesmsp"
"30","3808992",5,"Scottish Conservative and Unionist Party","Mid Scotland and Fife","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1953630","Murdo_Fraser","Murdo Fraser","male","white",NA,1965-09-05,NA,"57.48389,-4.22583",NA,"murdo_fraser"
"31","50441419",5,"Scottish National Party","Mid Fife and Glenrothes","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24026044","Jenny_Gilruth","Jenny Gilruth","female","white",NA,NA,NA,"56.29205,-2.97145",NA,"jennygilruth"
"32","50447294",5,"Scottish Conservative and Unionist Party","West Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24039803","Maurice_Golden","Maurice Golden","male","white",NA,1980-01-12,NA,NA,NA,"mgoldenmsp"
"33","4129631",5,"Scottish Labour Party","Highlands and Islands","Regional",2016-05-05,2021-05-06,1827,"SCO","Q769138","Rhoda_Grant","Rhoda Grant","female","white",NA,1963-06-26,NA,"58.209,-6.387",NA,"rhodagrant"
"34","50447615",5,"Scottish Conservative and Unionist Party","West Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24039791","Jamie_Greene","Jamie Greene","male","white",NA,1980-03-19,NA,"55.95,-4.76667",NA,"jamiegreeneuk"
"35","50443151",5,"Scottish Green Party","West Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24034374","Ross_Greer_(politician)","Ross Greer","male","white",NA,1994-06-01,NA,NA,NA,"ross_greer"
"36","31776520",5,"Scottish Labour Party","Central Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1900077","Mark_Griffin_(politician)","Mark Griffin","male","white",NA,1985-10-19,NA,"55.87,-4.27",NA,"markgriff1n"
"37","1808142",5,"Scottish Green Party","Glasgow","Regional",2016-05-05,2021-05-06,1827,"SCO","Q2057654","Patrick_Harvie","Patrick Harvie","male","white",NA,1973-03-18,NA,"55.98,-4.58",NA,"patrickharvie"
"38","50440660",5,"Scottish National Party","Rutherglen","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24025938","Clare_Haughey","Clare Haughey","female","white",NA,NA,NA,NA,NA,"haughey_clare"
"39","11243673",5,"Scottish National Party","Cumbernauld and Kilsyth","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1681399","Jamie_Hepburn","Jamie Hepburn","male","white",NA,1979-05-21,NA,"55.87,-4.27",NA,"jamiehepburn"
"40","553206",5,"Scottish National Party","Linlithgow","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1418512","Fiona_Hyslop","Fiona Hyslop","female","white",NA,1964-08-01,NA,"55.61944,-4.66111",NA,"fionahyslop"
"41","50442192",5,"Scottish Labour Party","Edinburgh Southern","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24052669","Daniel_Johnson_(Scottish_politician)","Daniel Johnson","male","white",NA,NA,NA,NA,NA,"djohnsonmsp"
"42","31696482",5,"Scottish Green Party","Lothian","Regional",2016-05-05,2021-05-06,1827,"SCO","Q2647232","Alison_Johnstone","Alison Johnstone","female","white",NA,1965-10-11,NA,"55.95,-3.19889",NA,"alisonjohnstone"
"43","11257787",5,"Scottish Labour Party","Glasgow","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1519985","James_Kelly_(Scottish_politician)","James Kelly","male","white",NA,1963-10-23,NA,"55.87,-4.27",NA,"jameskellylab"
"44","50447107",5,"Scottish Conservative and Unionist Party","North East Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24052676","Liam_Kerr","Liam Kerr","male",NA,NA,1975-01-23,NA,NA,NA,"liamkerrmsp"
"45","11236848",5,"Scottish National Party","Glasgow Anniesland","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q862234","Bill_Kidd","Bill Kidd","male","white",NA,1956-07-24,NA,NA,NA,"billkiddsnp"
"46","1365578",5,"Scottish Labour Party","Glasgow","Regional",2016-05-05,2021-05-06,1827,"SCO","Q544698","Johann_Lamont","Johann Lamont","female","white",NA,1957-07-11,NA,"55.87,-4.27",NA,"johannlamont"
"47","50452308",5,"Scottish Labour Party","Central Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24039899","Monica_Lennon","Monica Lennon","female",NA,NA,1981-01-01,NA,"55.82056,-4.02833",NA,"monicalennon7"
"48","50452272",5,"Scottish Labour Party","Central Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24039896","Richard_Leonard_(Scottish_politician)","Richard Leonard","male","white",NA,1962-01-01,NA,"54,-2",NA,"labourrichard"
"49","50442809",5,"Scottish Conservative and Unionist Party","Lothian","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24034371","Gordon_Lindhurst","Gordon Lindhurst","male",NA,NA,2000-01-01,NA,NA,NA,"glindhurstmsp"
"50","553196",5,"Scottish National Party","Moray","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1490268","Richard_Lochhead","Richard Lochhead","male","white",NA,1969-05-24,NA,"55.85,-4.43333",NA,"richardlochhead"
"51","50452360",5,"Scottish Conservative and Unionist Party","Mid Scotland and Fife","Regional",2016-05-05,2021-05-06,1827,"SCO","Q24052679","Dean_Lockhart","Dean Lockhart","male","white",NA,NA,NA,NA,NA,"deanlockhartmsp"
"52","31775891",5,"Scottish National Party","Uddingston and Bellshill","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q2150126","Richard_Lyle","Richard Lyle","male",NA,NA,1950-06-12,NA,NA,NA,"richardlylesnp"
"53","50442101",5,"Scottish National Party","Coatbridge and Chryston","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24052668","Fulton_MacGregor","Fulton MacGregor","male",NA,NA,NA,NA,NA,NA,"fultonsnp"
"54","50441686",5,"Scottish National Party","Edinburgh North and Leith","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24052665","Ben_Macpherson_(politician)","Ben Macpherson","male","white",NA,NA,NA,NA,NA,"benmacpherson"
"55","50441743",5,"Scottish National Party","Cunninghame South","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24034376","Ruth_Maguire","Ruth Maguire","female","white",NA,1950-01-01,NA,"57.12,-4.71",NA,"rbfmaguire"
"56","31776473",5,"Scottish Labour Party","North East Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q1687049","Jenny_Marra","Jenny Marra","female","white",NA,1977-11-06,NA,"56.464,-2.97",NA,"jennymarra"
"57","50432085",5,"Scottish National Party","Aberdeenshire East","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24014282","Gillian_Martin","Gillian Martin","female","white",NA,1969-01-01,NA,"57.31557,-2.00164",NA,"gillianmsp"
"58","18574507",5,"Scottish National Party","Glasgow Shettleston","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1700987","John_Mason_(Scottish_politician)","John Mason","male","white",NA,1957-05-15,NA,"55.828,-4.224",NA,"johnmasonmsp"
"59","903988",5,"Scottish National Party","Falkirk West","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q121780","Michael_Matheson_(politician)","Michael Matheson","male","white",NA,1970-09-08,NA,"55.87,-4.27",NA,"mathesonmichael"
"60","28728486",5,"Scottish National Party","South Scotland","Regional",2016-05-05,2021-05-06,1827,"SCO","Q512681","Joan_McAlpine","Joan McAlpine","female","white",NA,1962-01-28,NA,"55.95,-4.82",NA,"joanmcalpine"
"61","11072635",5,"Scottish Liberal Democrats","Orkney","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q1691804","Liam_McArthur","Liam McArthur","male","white",NA,1967-08-08,NA,"55.95,-3.19889",NA,"liam4orkney"
"62","50442214",5,"Scottish National Party","Glasgow Provan","Constituency",2016-05-05,2021-05-06,1827,"SCO","Q24052670","Ivan_McKee","Ivan McKee","male","white",NA,1963-09-01,NA,"56.01667,-4.73333",NA,"ivan_mckee"
